iter	Passed	Remaining
400	20472	5054
401	20521	5002
402	20565	4949
403	20612	4898
404	20664	4847
405	20718	4796
406	20772	4746
407	20815	4693
408	20858	4640
409	20902	4588
410	20943	4535
411	20991	4483
412	21036	4431
413	21078	4378
414	21121	4326
415	21169	4274
416	21224	4224
417	21275	4173
418	21325	4122
419	21370	4070
420	21413	4018
421	21458	3966
422	21503	3914
423	21545	3861
424	21591	3810
425	21633	3757
426	21684	3707
427	21742	3657
428	21791	3606
429	21833	3554
430	21882	3503
431	21926	3451
432	21974	3400
433	22020	3348
434	22065	3297
435	22106	3245
436	22153	3193
437	22206	3143
438	22258	3092
439	22310	3042
440	22353	2990
441	22397	2939
442	22443	2887
443	22485	2836
444	22535	2785
445	22582	2734
446	22627	2682
447	22677	2632
448	22730	2581
449	22782	2531
450	22831	2480
451	22875	2429
452	22929	2378
453	22982	2328
454	23035	2278
455	23094	2228
456	23151	2178
457	23213	2128
458	23275	2079
459	23331	2028
460	23385	1978
461	23437	1927
462	23495	1877
463	23552	1827
464	23604	1776
465	23663	1726
466	23720	1676
467	23776	1625
468	23831	1575
469	23885	1524
470	23932	1473
471	23990	1423
472	24036	1372
473	24079	1320
474	24122	1269
475	24176	1218
476	24236	1168
477	24289	1117
478	24341	1067
479	24388	1016
480	24440	965
481	24486	914
482	24532	863
483	24580	812
484	24625	761
485	24677	710
486	24727	660
487	24782	609
488	24837	558
489	24891	507
490	24934	457
491	24984	406
492	25030	355
493	25075	304
494	25120	253
495	25164	202
496	25217	152
497	25269	101
498	25325	50
499	25367	0
