iter	RMSE
349	4833.871141
350	4832.967321
351	4832.069024
352	4831.817873
353	4830.516886
354	4830.365884
355	4829.718667
356	4828.005905
357	4827.229333
358	4826.135173
359	4825.655443
360	4824.666914
361	4824.515052
362	4824.307667
363	4823.29315
364	4822.629439
365	4821.818822
366	4821.30205
367	4821.162481
368	4821.01335
369	4820.00956
370	4819.970902
371	4819.520111
372	4819.247443
373	4819.044584
374	4818.874117
375	4818.821993
376	4818.431366
377	4817.042802
378	4815.849746
379	4815.044836
380	4813.662541
381	4813.334077
382	4812.774011
383	4812.560186
384	4811.890919
385	4811.655308
386	4811.533817
387	4811.002173
388	4810.980643
389	4810.651006
390	4810.272549
391	4809.061692
392	4808.660642
393	4807.962178
394	4807.034433
395	4806.543354
396	4805.446421
397	4804.764985
398	4804.518836
399	4803.602918
400	4803.073037
401	4802.751026
402	4802.352689
403	4802.29824
404	4801.455002
405	4801.102723
406	4800.915782
407	4800.412882
408	4800.172985
409	4799.435844
410	4799.038917
411	4798.919026
412	4798.714523
413	4798.341024
414	4796.921372
415	4796.180275
416	4795.118111
417	4794.195708
418	4794.075548
419	4793.864167
420	4792.994879
421	4792.836059
422	4792.483925
423	4792.307763
424	4792.172456
425	4791.848443
426	4791.689576
427	4791.581414
428	4791.404895
429	4790.736486
430	4790.566703
431	4790.04586
432	4789.942063
433	4789.515157
434	4788.966214
435	4788.599326
436	4787.975551
437	4787.574546
438	4786.831099
439	4786.368461
440	4786.165565
441	4785.194288
442	4785.132603
443	4784.773186
444	4784.646601
445	4784.591177
446	4784.197186
447	4783.53721
448	4783.03638
449	4782.661683
450	4781.61135
451	4781.409648
452	4781.122728
453	4780.966589
454	4780.388248
455	4779.560792
456	4779.315291
457	4779.009125
458	4778.796555
459	4778.474245
460	4777.560652
461	4776.872991
462	4776.736032
463	4776.649178
464	4776.271684
465	4776.175598
466	4775.427215
467	4775.299903
468	4774.509409
469	4774.115353
470	4773.61954
471	4772.931538
472	4772.76394
473	4772.416514
474	4772.286153
475	4772.174429
476	4772.091255
477	4771.770158
478	4771.568545
479	4770.737173
480	4770.410831
481	4770.104216
482	4770.001121
483	4769.907252
484	4769.803342
485	4769.733225
486	4768.772526
487	4768.671265
488	4768.499821
489	4768.255592
490	4768.111367
491	4768.084598
492	4767.482532
493	4767.239686
494	4766.939632
495	4766.053238
496	4765.607552
497	4764.999478
498	4764.377316
499	4764.005808
